code,sector,currentPrice,dailyLiquidity,dividend,dividendYield,dividendYieldAnnual,priceVariation,pvp,physicalVacancy,financialVacancy
KNCR11,Títulos e Val. Mob.,"R$ 96,81",101107.0,"R$ 1,22","1,27%","3,49%","-3,26%","0,96",N/A,N/A
KNHY11,Títulos e Val. Mob.,"R$ 96,57",9882.0,"R$ 1,30","1,34%","3,83%","-1,02%","0,98",N/A,N/A
KNIP11,Títulos e Val. Mob.,"R$ 90,55",74102.0,"R$ 1,05","1,16%","3,27%","-0,88%","0,96",N/A,N/A
KNRE11,Residencial,"R$ 0,66",7333.0,"R$ 0,04","6,74%","6,74%","0,00%","0,86",N/A,N/A
KNRI11,Híbrido,"R$ 143,00",20990.0,"R$ 0,95","0,69%","2,03%","0,26%","0,89","2,00%","6,72%"
KNSC11,Títulos e Val. Mob.,"R$ 84,72",17152.0,"R$ 1,05","1,24%","3,43%","-2,61%","0,96",N/A,N/A
LASC11,Shoppings,"R$ 104,00",22.0,"R$ 0,71","0,68%","6,44%","1,94%","0,98","2,40%",N/A
LFTT11,Residencial,"R$ 68,20",28.0,"R$ 1,32","1,94%","17,80%","-7,69%","1,78",N/A,N/A
LGCP11,Logística,"R$ 71,85",4172.0,"R$ 0,60","0,83%","2,40%","-6,20%","0,70","0,50%",N/A
LSAG11,,"R$ 106,84",209.0,"R$ 1,68","1,59%","4,10%","-0,95%",N/A,N/A,N/A
LUGG11,Residencial,"R$ 71,50",339.0,"R$ 0,58","0,82%","2,35%","-4,02%","0,61","2,40%",N/A
LVBI11,Logística,"R$ 96,00",10217.0,"R$ 0,75","0,80%","2,33%","-2,83%","0,83","0,50%","0,00%"
MALL11,Shoppings,"R$ 99,00",9691.0,"R$ 0,78","0,79%","2,35%","0,03%","0,83","4,00%",N/A
MATV11,Títulos e Val. Mob.,"R$ 77,00",2.0,"R$ 0,60","0,74%","1,98%","0,01%","0,84",N/A,N/A
MAXR11,Outros,"R$ 64,40",327.0,"R$ 0,74","1,14%","2,54%","2,97%","0,52","2,80%",N/A
MCCI11,Títulos e Val. Mob.,"R$ 88,00",26067.0,"R$ 0,95","1,13%","2,25%","-0,84%","0,95",N/A,N/A
MCHF11,Títulos e Val. Mob.,"R$ 8,53",73695.0,"R$ 0,10","1,14%","2,30%","1,50%","0,91",N/A,N/A
MCHY11,Títulos e Val. Mob.,"R$ 110,87",49.0,"R$ 1,40","1,27%","2,55%","0,00%","1,11",N/A,N/A
MFAI11,Híbrido,"R$ 55,93",150.0,"R$ 0,31","0,55%","2,55%","-0,96%","0,85",N/A,N/A
MFII11,Híbrido,"R$ 87,03",4459.0,"R$ 1,11","1,24%","3,54%","-5,44%","0,84",N/A,N/A
MGCR11,Títulos e Val. Mob.,"R$ 79,18",1507.0,"R$ 0,86","1,09%","2,19%","0,68%","0,88",N/A,N/A
MGFF11,Títulos e Val. Mob.,"R$ 55,29",58136.0,"R$ 0,54","0,99%","2,98%","0,27%","0,76",N/A,N/A
MGHT11,Hotel,"R$ 59,20",778.0,"R$ 0,80","1,31%","2,67%","4,00%","0,69",N/A,N/A
MORC11,Títulos e Val. Mob.,"R$ 87,55",1923.0,"R$ 1,10","1,20%","2,38%","-4,88%","0,90",N/A,N/A
MORE11,Títulos e Val. Mob.,"R$ 59,95",3617.0,"R$ 0,60","0,98%","2,07%","0,64%","0,72",N/A,N/A
MXRF11,Híbrido,"R$ 10,34",503011.0,"R$ 0,12","1,17%","3,42%","0,49%","1,02",N/A,N/A
NAVT11,Títulos e Val. Mob.,"R$ 72,92",330.0,"R$ 0,85","1,19%","2,39%","0,51%","0,81",N/A,N/A
NCHB11,Títulos e Val. Mob.,"R$ 78,70",7788.0,"R$ 1,03","1,29%","3,64%","-6,58%","0,87",N/A,N/A
NCRA11,,"R$ 10,41",16641.0,"R$ 0,15","1,44%","2,84%","-88,74%",N/A,N/A,N/A
NCRI11,Títulos e Valores Mobiliários,"R$ 9,01",25.0,"R$ 0,11","1,22%","2,39%","-4,05%","0,89",N/A,N/A
NEWL11,Híbrido,"R$ 100,80",434.0,"R$ 0,93","0,94%","2,80%","-1,05%","0,83","0,00%",N/A
NEWU11,Lajes Corporativas,"R$ 69,58",99.0,"R$ 0,14","0,20%","0,59%","12,42%","1,01","63,20%",N/A
NSLU11,Hospital,"R$ 164,01",724.0,"R$ 1,54","0,96%","2,81%","-2,80%","0,84","0,00%",N/A
NVHO11,Hospital,"R$ 12,00",102.0,"R$ 0,09","0,71%","2,24%","11,63%","0,86",N/A,N/A
NVIF11B,Outros,N/A,N/A,"R$ 0,44","0,00%",N/A,"0,00%",N/A,N/A,N/A
OIAG11,,"R$ 10,66",68901.0,"R$ 0,15","1,38%","4,62%","1,78%",N/A,N/A,N/A
ONEF11,Lajes Corporativas,"R$ 165,03",518.0,"R$ 0,98","0,58%","1,71%","-2,41%","0,82","0,00%",N/A
ORPD11,Títulos e Val. Mob.,"R$ 11,00",50.0,"R$ 1,38",N/A,N/A,N/A,"0,07",N/A,N/A
OUFF11,Títulos e Val. Mob.,"R$ 60,37",2784.0,"R$ 0,70","1,14%","2,25%","-1,88%","0,83",N/A,N/A
OUJP11,Títulos e Val. Mob.,"R$ 90,26",7324.0,"R$ 1,25","1,38%","3,92%","-8,25%","0,90",N/A,N/A
OULG11,Outros,"R$ 35,89",1254.0,"R$ 0,41","1,07%","2,12%","-3,20%","0,53","0,00%",N/A
OURE11,Títulos e Val. Mob.,"R$ 73,87",1244.0,"R$ 0,95","1,28%","2,62%","0,30%","0,82",N/A,N/A
PABY11,Híbrido,"R$ 12,17",602.0,"R$ 0,00","0,00%","0,00%","-19,84%","-0,74",N/A,N/A
PATC11,Lajes Corporativas,"R$ 64,00",375.0,"R$ 0,27","0,43%","1,08%","-6,41%","0,84","21,90%","18,90%"
